Tipo,Titolo,Url,Nascita,Morte
persona,Carlo Alberto Bosi,https://it.wikipedia.org/wiki/Carlo_Alberto_Bosi,1813,1886
gruppo,Mau Mau,https://it.wikipedia.org/wiki/Mau_Mau_(gruppo_musicale),,
persona,Emilio Jona,https://it.wikipedia.org/wiki/Emilio_Jona,1927,
gruppo,Gruppo padano di Piadena,,,
persona,Josè Afonso,https://it.wikipedia.org/wiki/Jos%C3%A9_Afonso,1929,1987
persona,Margot Galante Garrone,https://it.wikipedia.org/wiki/Margot_(cantante),1941,2017
persona,Franca Rame,https://it.wikipedia.org/wiki/Franca_Rame,1929,2013
persona,Gildo dei Fantardi,,,
persona,Marco Rovelli,https://it.wikipedia.org/wiki/Marco_Rovelli,1969,
persona,Daisy Lumini,https://it.wikipedia.org/wiki/Daisy_Lumini,1936,1993
gruppo,Collettivo Ticino Riva Sinistra,,,
persona,Melchiorre Murenu,https://it.wikipedia.org/wiki/Melchiorre_Murenu,1803,1854
persona,Gianni Siviero,https://it.wikipedia.org/wiki/Gianni_Siviero,1938,
persona,Fufi Sonnino,,1940,
persona,Marie-Joseph Chénier,https://it.wikipedia.org/wiki/Marie-Joseph_Chénier,1764,1811
persona,Peppino Marotto,https://it.wikipedia.org/wiki/Peppino_Marotto,1925,2007
persona,Gian Luigi Ago,,,
persona,Louis Aragon,https://it.wikipedia.org/wiki/Louis_Aragon,1897,1982
persona,Luigi Lunari,https://it.wikipedia.org/wiki/Luigi_Lunari,1934,2019
persona,Antonio Infantino,https://it.wikipedia.org/wiki/Antonio_Infantino,1944,2018
gruppo,Canzoniere di Rimini,,,
gruppo,Casa del Vento,https://it.wikipedia.org/wiki/Casa_del_vento,,
persona,Vivir Quintana,https://en.wikipedia.org/wiki/Vivir_Quintana,1985,
persona,Armandino Liberti,,,
persona,Pino Veneziano,https://scn.wikipedia.org/wiki/Pinu_Venezianu,1933,1994
persona,Aleardo Caliari,,,
persona,Boris Vian,https://it.wikipedia.org/wiki/Boris_Vian,1920,1959
persona,Patrizia Aguiari,,,
gruppo,N.G. Rubanu,https://it.wikipedia.org/wiki/Gruppo_Rubanu,,
persona,Jean-Baptiste Clément,https://it.wikipedia.org/wiki/Jean-Baptiste_Clément,1836,1903
persona,Giorgio Lo Cascio,https://it.wikipedia.org/wiki/Giorgio_Lo_Cascio,1951,2001
persona,Andrea Costa,https://it.wikipedia.org/wiki/Andrea_Costa,1851,1910
persona,Dodi Moscati,https://it.wikipedia.org/wiki/Dodi_Moscati,1942,1998
persona,Anna Marly,https://it.wikipedia.org/wiki/Anna_Marly,1917,2006
persona,Antonio Catacchio,,,
gruppo,Quilapayun,https://it.wikipedia.org/wiki/Quilapayún,,
persona,Dominique Grange,https://it.wikipedia.org/wiki/Dominique_Grange,1940,
persona,Luis Lach,https://it.wikipedia.org/wiki/Lluís_Llach,1948,
persona,Anton Francesco Menchi,https://it.wikipedia.org/wiki/Anton_Francesco_Menchi,1762,1828
gruppo,Ferrini,,,
persona,Lan Adomian,,1905,1979
persona,Louise Michel,https://it.wikipedia.org/wiki/Louise_Michel,1830,1905
persona,Valeriano Orobón Fernández,https://en.wikipedia.org/wiki/Valeriano_Orobón_Fernández,1901,1936
persona,Ezio Cuppone,,1942,
persona,Atahualpa Yupanqui,https://it.wikipedia.org/wiki/Atahualpa_Yupanqui,1908,1992
gruppo,Dr Drer & CRC Posse,https://it.wikipedia.org/wiki/Dr._Drer_%26_CRC_posse,,
persona,Nicola Loi,,,
gruppo,Polenta Violenta - Canzoniere Popolare,,,
persona,Charles Keller,,,
persona,Alberto Cesa,,1947,2010
persona,Lanfranco Bellotti,,,
persona,Marco Chiavistrelli,,,
persona,Adriano Callegari,,,
persona,Carlo Monticelli,https://it.wikipedia.org/wiki/Carlo_Monticelli,1857,1913
persona,Enea Danese,,,
persona,Mario Giusti,,,
persona,Rocco Rosignoli,,,
persona,Renato Franchi,,,
persona,Ulisse Barbieri,https://it.wikipedia.org/wiki/Ulisse_Barbieri,1842,1899
persona,James Oppenheim,https://it.wikipedia.org/wiki/James_Oppenheim,1882,1932
persona,Alexandros Panagulis,https://it.wikipedia.org/wiki/Alexandros_Panagulis,1939,1976
persona,Robb Johnson,https://en.wikipedia.org/wiki/Robb_Johnson,1955,
persona,Luciano Francisci,,,
persona,Carlo Loiodice,,,
persona,Piero Nissim,https://it.wikipedia.org/wiki/Piero_Nissim,1946,
persona,Canepa Gianbattista,https://it.wikipedia.org/wiki/Giovanni_Battista_Canepa,1896,1994
persona,Davide Giromini,,,
persona,Alessandro Fanari,,,
persona,Fulvio Boris Tallarico,,,
persona,Alberto Marzoli,,,
persona,Arlo Guthrie,https://it.wikipedia.org/wiki/Arlo_Guthrie,1947,
persona,Luciana Manca,,,
persona,Luigi Pantaleoni,,,
persona,R. Traversa,,,
persona,Carla Castelli,,,
persona,Angelo Brofferio,https://it.wikipedia.org/wiki/Angelo_Brofferio,1802,1966
persona,Sergej Alimov,,,
persona,Eugene Pottier,https://it.wikipedia.org/wiki/Eugène_Pottier,1816,1887
persona,Joe Hill,,,
persona,Luigi Fossati,https://it.wikipedia.org/wiki/Luigi_Fossati,1927,1990
persona,Amintore Galli,https://it.wikipedia.org/wiki/Amintore_Galli,1845,1919
persona,Germano Bonaveri,https://it.wikipedia.org/wiki/Germano_Bonaveri,1968,
persona,Mikis Teodorakis,https://it.wikipedia.org/wiki/Mikīs_Theodōrakīs,1925,2021
persona,Mario Andreini,https://it.wikipedia.org/wiki/Mario_Andreini,1901,1970
persona,Marino Piazza,https://it.wikipedia.org/wiki/Marino_Piazza,1909,1993
gruppo,Suonatori Terra Terra,,,
persona,Juvanneantoni Busia,,,
persona,P. Cini,,,
persona,Lalli,https://it.wikipedia.org/wiki/Lalli_(cantante),1956,
persona,Cino Moscatelli,https://it.wikipedia.org/wiki/Cino_Moscatelli,1908,1981
persona,Giusy Battaglia,,,
persona,Diego De Palma,,,
persona,Santo Catanuto,,,
persona,Vincenzo Migaleddu,,,
gruppo,L' Estorio Drolo,,,
persona,Nino Jomini,,,
persona,Sergio Ortega,https://it.wikipedia.org/wiki/Sergio_Ortega,1938,2003
persona,B. Merlino,,,
persona,Samuel Pokrass,https://en.wikipedia.org/wiki/Samuel_Pokrass,1893,1939
persona,Sandra Boninelli,,,
persona,Giovanni Famoso,,,
persona,Reuven Lifshutz,,1918,1975
persona,Jose Martì,https://it.wikipedia.org/wiki/Jos%C3%A9_Mart%C3%AD,1853,1895
persona,Rudi Goguel,https://fr.wikipedia.org/wiki/Rudi_Goguel,1908,1976
persona,Judith Reyes,,,
persona,Antoine Renard,https://fr.wikipedia.org/wiki/Antoine_Renard,1825,1872
persona,Beppe Chierici,https://it.wikipedia.org/wiki/Beppe_Chierici,1937,
persona,Tonino Zurlo,https://it.wikipedia.org/wiki/Tonino_Zurlo,1946,
persona,Pablo Neruda,https://it.wikipedia.org/wiki/Pablo_Neruda,1904,1973
persona,Andrea Sigona,https://it.wikipedia.org/wiki/Andrea_Sigona,1969,
persona,Sylvain Girault,,,
persona,Augustin Diaz Cartaya,,,
persona,Daniel Viglietti,https://it.wikipedia.org/wiki/Daniel_Viglietti,1939,2017
persona,Tommy Skelly,,,
persona,Dimitri Chostakovitch,https://it.wikipedia.org/wiki/Dmitrij_Dmitrievi%C4%8D_%C5%A0ostakovi%C4%8D,1906,1975
persona,Ramon Carratala,,,
gruppo,Colectivo Lastesis,,,
persona,Giubbonsky,,,
persona,Daniele Bartolini,,,
persona,Gianfranco Giombini,,,
persona,Ateo Amedeo Vannucci,,,
gruppo,Nuestra America,,,
persona,Travis Merle,https://it.wikipedia.org/wiki/Merle_Travis,1917,1983
persona,Giuseppe Giusti,https://it.wikipedia.org/wiki/Giuseppe_Giusti,1809,1850
persona,Max Greggio,,,
persona,Pietro Besate,https://it.wikipedia.org/wiki/Pietro_Besate,1919,1984
persona,Dario Baraldi,,,
persona,Yuki Maraini,https://it.wikipedia.org/wiki/Yuki_Maraini,1939,1995
persona,Marco Del Giudice,,,
persona,Giuseppe Miriello,,,
persona,Stefano Giaccone,https://it.wikipedia.org/wiki/Stefano_Giaccone,1959,
gruppo,Tzoku,,,
persona,Johann Esser,https://de.wikipedia.org/wiki/Johann_Esser,1896,1971
,Anna Maria Bragatto,,,
,Silvano Spinetti,,,
,Hans Eisler,https://it.wikipedia.org/wiki/Hanns_Eisler,,
,Giada Salerno,,,
,Massimo Dursi,https://it.wikipedia.org/wiki/Massimo_Dursi,,
,Alfredo Picconi,,,
,Canon Charles O'Neill,https://en.wikipedia.org/wiki/Charles_O%27Neill_(priest),,
,Isernia,,,
,Jacobus Kambanellis,https://it.wikipedia.org/wiki/Iakovos_Kambanellis,,
,Aristide Valcour,https://fr.wikipedia.org/wiki/Aristide_Valcour,,
,Didimo Ferrari,https://it.wikipedia.org/wiki/Didimo_Ferrari,,
,Miguel Hernández,https://it.wikipedia.org/wiki/Miguel_Hern%C3%A1ndez,,
,Aída Cartagena Portalatìn,https://it.wikipedia.org/wiki/A%C3%ADda_Cartagena_Portalat%C3%ADn,,
,Emanuela Risari,,,
,Ilario Da Costa,,,
,Wolfgang Langhoff,https://it.wikipedia.org/wiki/Wolfgang_Langhoff,,
,Joan Isaac,https://it.wikipedia.org/wiki/Joan_Isaac,,
,Jean Bériac,,,
,Stanislao Alberici Giannini,,,
,Mario Lopez,,,
,Karol Pahor,https://it.wikipedia.org/wiki/Karol_Pahor,,
,Domenico Carbone,https://it.wikipedia.org/wiki/Domenico_Carbone_(poeta),,
,Mirafiori Kidz,,,
,Julos Beaucarne,https://it.wikipedia.org/wiki/Julos_Beaucarne,,
,Riky Avataneo,,,
,Bruna Montorsi,,,
,Carlos Mejia Godoy,https://it.wikipedia.org/wiki/Carlos_Mej%C3%ADa_Godoy,,
,Arturo Richard,,,
,Luca Rapisarda,,,
,Claudina Vaccari,,,
,Angelo Fietti,,,
,Fiorenzo Gualandris,,,
,Elisa Biason,,,
,Carla Baldini,,,
,Francesco Manno,,,
,Beppe Milano,,,
,Sandro Portelli,https://it.wikipedia.org/wiki/Alessandro_Portelli,,
,Sheikh Imam,https://it.wikipedia.org/wiki/Sheikh_Imam,,
,Carlo Della Giacoma,https://it.wikipedia.org/wiki/Carlo_Della_Giacoma,,
,Vittorio Franceschi,https://it.wikipedia.org/wiki/Vittorio_Franceschi,,
,Guy Debord,https://it.wikipedia.org/wiki/Guy_Debord,,
,Marco Ligini,,,
,Egidio Cristini,,,
,Franco Matacotta,https://it.wikipedia.org/wiki/Franco_Matacotta,,
,Roberto Mereta,,,
,Alfonso Di Sirio,,,
,Francesco De Francisco,,,
,F. Dall'Ongaro,https://it.wikipedia.org/wiki/Francesco_Dall%27Ongaro,,
,Antonio Giordano,,,
,Alfredo Puccioni,,,
,Ladré,https://fr.wikipedia.org/wiki/Ladr%C3%A9,,
,Rodin Kaufmann,,,
,Mario Isnenghi,https://it.wikipedia.org/wiki/Mario_Isnenghi,,
,Alfredo Spinetti,,,
,Luciano Lucignani,https://it.wikipedia.org/wiki/Luciano_Lucignani,,
,Franco Fantozzi,,,
,Piero Sciotto,,,
,Tone Seliskar,https://it.wikipedia.org/wiki/Tone_Seli%C5%A1kar,,
,Sergio Lodi,,,
,Pietro Cruccas,,,
,Mario Socrate,https://it.wikipedia.org/wiki/Mario_Socrate,,
,Yarko Yovanovich,,,
,Giovanni Bertacchi,https://it.wikipedia.org/wiki/Giovanni_Bertacchi,,
,Aristide Bruant,https://it.wikipedia.org/wiki/Aristide_Bruant,,
,Alex Mc Dade,https://en.wikipedia.org/wiki/Alex_McDade,,
,José María De Garate,https://es.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_de_G%C3%A1rate,,
,Raffaella Cosentino,,,
,Vittorio Ragazzi,,,
,Giuliano Boffardi,,,
,Guido Podrecca,https://it.wikipedia.org/wiki/Guido_Podrecca,,
,Xesco Boix,https://ca.wikipedia.org/wiki/Xesco_Boix,,
,Jules Jouy,https://fr.wikipedia.org/wiki/Jules_Jouy,,
,Pierre Dupont,https://it.wikipedia.org/wiki/Pierre_Dupont_(chansonnier),,
,Gruppo Malatesta Ancona,,,
,Gaston Montéhus,https://it.wikipedia.org/wiki/Mont%C3%A9hus,,
,Pompeo Bettini,https://it.wikipedia.org/wiki/Pompeo_Bettini,,
,Veronica Bigontini,,,
,Herrera Petere,https://es.wikipedia.org/wiki/Jos%C3%A9_Herrera_Petere,,
,Nicolás Guillén,https://it.wikipedia.org/wiki/Nicol%C3%A1s_Guill%C3%A9n,,
,Joseph Kessel,https://it.wikipedia.org/wiki/Joseph_Kessel,,
,Kardeş Türküler,https://it.wikipedia.org/wiki/Karde%C5%9F_T%C3%BCrk%C3%BCler,,
,Renaud Séchan,https://it.wikipedia.org/wiki/Renaud_(cantante),,
,Renato Scagliola,,,
,Franco Corlianò,https://it.wikipedia.org/wiki/Franco_Corlian%C3%B2,,
